time,K8s node 1,K8s node 2,K8s node 3
0,0,0,0
0,0.0834,0,0.167
1,0.0834,0,0.167
2,0.0834,0,0.167
3,0.0834,0,0.167
4,0.0834,0,0.167
5,0.0834,0,0.167
6,0.0834,0,0.167
7,0.0834,0,0.167
8,0.0834,0,0.167
9,0.0834,0,0.167
10,0.0834,0,0.167
11,0.0834,0,0.167
12,0.0834,0,0.167
13,0.0834,0,0.167
14,0.0834,0,0.167
15,0.0834,0,0.167
16,0.0834,0,0.167
17,0.0834,0,0.167
18,0.0834,0,0.167
19,0.0834,0,0.167
20,0.0834,0,0.167
21,0.0834,0,0.167
22,0.0834,0,0.167
23,0.0834,0,0.167
24,0.0834,0,0.167
25,0.0834,0,0.167
26,0.0834,0,0.167
27,0.0834,0,0.167
28,0.0834,0,0.167
29,0.0834,0,0.167
30,0.146,0.125,0.167
31,0.146,0.125,0.167
32,0.146,0.125,0.167
33,0.146,0.125,0.167
34,0.146,0.125,0.167
35,0.146,0.125,0.167
36,0.146,0.125,0.167
37,0.146,0.125,0.167
38,0.146,0.125,0.167
39,0.146,0.125,0.167
40,0.146,0.125,0.167
41,0.146,0.125,0.167
42,0.146,0.125,0.167
43,0.146,0.125,0.167
44,0.146,0.125,0.167
45,0.146,0.125,0.167
46,0.146,0.125,0.167
47,0.146,0.125,0.167
48,0.146,0.125,0.167
49,0.146,0.125,0.167
50,0.146,0.125,0.167
51,0.146,0.125,0.167
52,0.146,0.125,0.167
53,0.146,0.125,0.167
54,0.146,0.125,0.167
55,0.146,0.125,0.167
56,0.146,0.125,0.167
57,0.146,0.125,0.167
58,0.146,0.125,0.167
59,0.146,0.125,0.167
60,0.167,0.167,0.167
61,0.167,0.167,0.167
62,0.167,0.167,0.167
63,0.167,0.167,0.167
64,0.167,0.167,0.167
65,0.167,0.167,0.167
66,0.167,0.167,0.167
67,0.167,0.167,0.167
68,0.167,0.167,0.167
69,0.167,0.167,0.167
70,0.167,0.167,0.167
71,0.167,0.167,0.167
72,0.167,0.167,0.167
73,0.167,0.167,0.167
74,0.167,0.167,0.167
75,0.167,0.167,0.167
76,0.167,0.167,0.167
77,0.167,0.167,0.167
78,0.167,0.167,0.167
79,0.167,0.167,0.167
80,0.167,0.167,0.167
81,0.167,0.167,0.167
82,0.167,0.167,0.167
83,0.167,0.167,0.167
84,0.167,0.167,0.167
85,0.167,0.167,0.167
86,0.167,0.167,0.167
87,0.167,0.167,0.167
88,0.167,0.167,0.167
89,0.167,0.167,0.167
90,0.0834,0,0.167
91,0.0834,0,0.167
92,0.0834,0,0.167
93,0.0834,0,0.167
94,0.0834,0,0.167
95,0.0834,0,0.167
96,0.0834,0,0.167
97,0.0834,0,0.167
98,0.0834,0,0.167
99,0.0834,0,0.167
100,0.0834,0,0.167
101,0.0834,0,0.167
102,0.0834,0,0.167
103,0.0834,0,0.167
104,0.0834,0,0.167
105,0.0834,0,0.167
106,0.0834,0,0.167
107,0.0834,0,0.167
108,0.0834,0,0.167
109,0.0834,0,0.167
110,0.0834,0,0.167
111,0.0834,0,0.167
112,0.0834,0,0.167
113,0.0834,0,0.167
114,0.0834,0,0.167
115,0.0834,0,0.167
116,0.0834,0,0.167
117,0.0834,0,0.167
118,0.0834,0,0.167
119,0.0834,0,0.167
0,0,0,0
