time,K8s node 1,K8s node 2,K8s node 3
0,0,0,0
0,0,0,0.0789
1,0,0,0.0789
2,0,0,0.0789
3,0,0,0.0789
4,0.0342,0,0.0789
5,0.0342,0,0.0789
6,0.0342,0,0.0789
7,0.0342,0,0.0789
8,0.0342,0,0.0789
9,0.0342,0,0.0789
10,0.0342,0,0.0789
11,0.0342,0,0.0789
12,0.0342,0,0.0789
13,0.0342,0,0.0789
14,0.0342,0,0.0789
15,0.0342,0,0.0789
16,0.0342,0,0.0789
17,0.0342,0,0.0789
18,0.0342,0,0.0789
19,0.0342,0,0.0789
20,0.0342,0,0.0789
21,0.0342,0,0.0789
22,0.0342,0,0.0789
23,0.0342,0,0.0789
24,0.0342,0,0.0789
25,0.0342,0,0.0789
26,0.0342,0,0.0789
27,0.0342,0,0.0789
28,0.0342,0,0.0789
29,0.0342,0,0.0789
30,0.0342,0,0.380
31,0.0342,0,0.380
32,0.0342,0,0.380
33,0.0342,0,0.380
34,0.302,0,0.380
35,0.302,0.247,0.380
36,0.302,0.247,0.380
37,0.302,0.247,0.380
38,0.302,0.247,0.380
39,0.302,0.247,0.380
40,0.302,0.247,0.380
41,0.302,0.247,0.380
42,0.302,0.247,0.380
43,0.302,0.247,0.380
44,0.302,0.247,0.380
45,0.302,0.247,0.380
46,0.302,0.247,0.380
47,0.302,0.247,0.380
48,0.302,0.247,0.380
49,0.302,0.247,0.380
50,0.302,0.247,0.380
51,0.302,0.247,0.380
52,0.302,0.247,0.380
53,0.302,0.247,0.380
54,0.302,0.247,0.380
55,0.302,0.247,0.380
56,0.302,0.247,0.380
57,0.302,0.247,0.380
58,0.302,0.247,0.380
59,0.302,0.247,0.380
60,0.302,0.247,0.380
61,0.302,0.247,0.380
62,0.302,0.247,0.380
63,0.302,0.247,0.380
64,0.380,0.247,0.380
65,0.380,0.380,0.380
66,0.380,0.380,0.380
67,0.380,0.380,0.380
68,0.380,0.380,0.380
69,0.380,0.380,0.380
70,0.380,0.380,0.380
71,0.380,0.380,0.380
72,0.380,0.380,0.380
73,0.380,0.380,0.380
74,0.380,0.380,0.380
75,0.380,0.380,0.380
76,0.380,0.380,0.380
77,0.380,0.380,0.380
78,0.380,0.380,0.380
79,0.380,0.380,0.380
80,0.380,0.380,0.380
81,0.380,0.380,0.380
82,0.380,0.380,0.380
83,0.380,0.380,0.380
84,0.380,0.380,0.380
85,0.380,0.380,0.380
86,0.380,0.380,0.380
87,0.380,0.380,0.380
88,0.380,0.380,0.380
89,0.380,0.380,0.380
90,0.380,0.380,0.380
91,0.380,0.380,0.380
92,0.380,0.380,0.380
93,0.380,0.380,0.380
94,0.190,0.380,0.380
95,0.190,0,0.380
96,0.190,0,0.380
97,0.190,0,0.380
98,0.190,0,0.380
99,0.190,0,0.380
100,0.190,0,0.380
101,0.190,0,0.380
102,0.190,0,0.380
103,0.190,0,0.380
104,0.190,0,0.380
105,0.190,0,0.380
106,0.190,0,0.380
107,0.190,0,0.380
108,0.190,0,0.380
109,0.190,0,0.380
110,0.190,0,0.380
111,0.190,0,0.380
112,0.190,0,0.380
113,0.190,0,0.380
114,0.190,0,0.380
115,0.190,0,0.380
116,0.190,0,0.380
117,0.190,0,0.380
118,0.190,0,0.380
119,0.190,0,0.380
120,0.190,0,0
121,0.190,0,0
122,0.190,0,0
123,0.190,0,0
0,0,0,0
